#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	77
Stop measure: 	0	Result: FORWARD
1	0.0200195	[0:0]	[2000000:2000000]
1	0.0288086	[0:0]	[2000000:2000000]
1	0.0217285	[0:0]	[2000000:2000000]
1	-0.0146484	[0:0]	[2000000:2000000]
1	-0.0151367	[0:0]	[2000000:2000000]
1	-0.000488281	[0:0]	[2000000:2000000]
1	0.0202637	[0:0]	[2000000:2000000]
1	-0.0078125	[0:0]	[2000000:2000000]
1	0.00610352	[0:0]	[2000000:2000000]
1	-0.0393066	[0:0]	[2000000:2000000]
1	0.0263672	[0:0]	[2000000:2000000]
1	0.0268555	[0:0]	[2000000:2000000]
1	0.0585938	[0:0]	[2000000:2000000]
1	-0.00146484	[0:0]	[2000000:2000000]
1	-0.00927734	[0:0]	[2000000:2000000]
1	0.0410156	[0:0]	[2000000:2000000]
1	0.0788574	[0:0]	[2000000:2000000]
1	0.0410156	[0:0]	[2000000:2000000]
1	-0.0231934	[0:0]	[2000000:2000000]
1	-0.0332031	[0:0]	[2000000:2000000]
1	-0.0124512	[0:0]	[2000000:2000000]
1	0.0314941	[0:0]	[2000000:2000000]
1	0.0439453	[0:0]	[2000000:2000000]
1	0.00585938	[0:0]	[2000000:2000000]
1	-0.00390625	[0:0]	[2000000:2000000]
1	0.00561523	[0:0]	[2000000:2000000]
1	0.0383301	[0:0]	[2000000:2000000]
1	0.0285645	[0:0]	[2000000:2000000]
1	0.00390625	[0:0]	[2000000:2000000]
1	0.00415039	[0:0]	[2000000:2000000]
1	0.00268555	[0:0]	[2000000:2000000]
1	0.00683594	[0:0]	[2000000:2000000]
1	0.00415039	[0:0]	[2000000:2000000]
1	0.0197754	[0:0]	[2000000:2000000]
1	0.00878906	[0:0]	[2000000:2000000]
1	0.00610352	[0:0]	[2000000:2000000]
1	-0.0170898	[0:0]	[2000000:2000000]
1	0.00512695	[0:0]	[2000000:2000000]
1	0.0253906	[0:0]	[2000000:2000000]
1	0.013916	[0:0]	[2000000:2000000]
1	0.00756836	[0:0]	[2000000:2000000]
1	0.00170898	[0:0]	[2000000:2000000]
1	-0.000976562	[0:0]	[2000000:2000000]
1	-0.00341797	[0:0]	[2000000:2000000]
1	0.0231934	[0:0]	[2000000:2000000]
1	0.0119629	[0:0]	[2000000:2000000]
1	-0.000732422	[0:0]	[2000000:2000000]
1	0.00170898	[0:0]	[2000000:2000000]
1	0.0119629	[0:0]	[2000000:2000000]
1	0.0195312	[0:0]	[2000000:2000000]
1	0.0065918	[0:0]	[2000000:2000000]
1	0.00854492	[0:0]	[2000000:2000000]
1	0.00244141	[0:0]	[2000000:2000000]
1	0.012207	[0:0]	[2000000:2000000]
1	0.0300293	[0:0]	[2000000:2000000]
1	0.0192871	[0:0]	[2000000:2000000]
1	0.00610352	[0:0]	[2000000:2000000]
1	-0.00195312	[0:0]	[2000000:2000000]
1	0.00390625	[0:0]	[2000000:2000000]
1	0.017334	[0:0]	[2000000:2000000]
1	0.0244141	[0:0]	[2000000:2000000]
1	0.0249023	[0:0]	[2000000:2000000]
1	-0.000976562	[0:0]	[2000000:2000000]
1	-0.0146484	[0:0]	[2000000:2000000]
1	0.00268555	[0:0]	[2000000:2000000]
1	0.0146484	[0:0]	[2000000:2000000]
1	0.0366211	[0:0]	[2000000:2000000]
1	0.00390625	[0:0]	[2000000:2000000]
1	-0.00317383	[0:0]	[2000000:2000000]
1	-0.00390625	[0:0]	[2000000:2000000]
1	0.0065918	[0:0]	[2000000:2000000]
1	0.0263672	[0:0]	[2000000:2000000]
1	0.0200195	[0:0]	[2000000:2000000]
1	0.00463867	[0:0]	[2000000:2000000]
1	-0.000976562	[0:0]	[2000000:2000000]
result : Standing:|

2	0.00415039	[0:0]	[2000000:2000000]
2	0.0222168	[0:0]	[2000000:2000000]
2	0.0224609	[0:0]	[2000000:2000000]
2	0.0197754	[0:0]	[2000000:2000000]
2	0.00756836	[0:0]	[2000000:2000000]
2	0.00219727	[0:0]	[2000000:2000000]
2	0.00927734	[0:0]	[2000000:2000000]
2	0.0217285	[0:0]	[2000000:2000000]
2	0.0429688	[0:0]	[2000000:2000000]
2	-0.0964355	[0:0]	[2000000:2000000]
2	0.048584	[0:0]	[2000000:2000000]
2	0.00195312	[0:0]	[2000000:2000000]
2	0.0559082	[0:0]	[2000000:2000000]
2	-0.185059	[0:0]	[2000000:2000000]
2	0.122314	[0:0]	[2000000:2000000]
2	0.0375977	[0:0]	[2000000:2000000]
2	0.0498047	[0:0]	[2000000:2000000]
2	-0.0361328	[0:0]	[2000000:2000000]
2	0.0505371	[0:0]	[2000000:2000000]
2	-0.00341797	[0:0]	[2000000:2000000]
2	0.0778809	[0:0]	[2000000:2000000]
2	-0.0576172	[0:0]	[2000000:2000000]
2	-0.0383301	[0:0]	[2000000:2000000]
2	-0.0319824	[0:0]	[2000000:2000000]
2	0.0253906	[0:0]	[2000000:2000000]
2	0.0317383	[0:0]	[2000000:2000000]
2	0.043457	[0:0]	[2000000:2000000]
2	0.00463867	[0:0]	[2000000:2000000]
2	-0.0334473	[0:0]	[2000000:2000000]
2	0.0307617	[0:0]	[2000000:2000000]
2	0.0715332	[0:0]	[2000000:2000000]
