#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	76
Stop measure: 	77	Result: BACKWARD
1	-0.00146484	[0:0]	[2000000:2000000]
1	-0.00268555	[0:0]	[2000000:2000000]
1	0.0275879	[0:0]	[2000000:2000000]
1	-0.00366211	[0:0]	[2000000:2000000]
1	-0.0078125	[0:0]	[2000000:2000000]
1	-0.012207	[0:0]	[2000000:2000000]
1	-0.00585938	[0:0]	[2000000:2000000]
1	0.00488281	[0:0]	[2000000:2000000]
1	-0.182129	[0:0]	[2000000:2000000]
1	0.0930176	[0:0]	[2000000:2000000]
1	0.169922	[0:0]	[2000000:2000000]
1	0.0544434	[0:0]	[2000000:2000000]
1	0.0275879	[0:0]	[2000000:2000000]
1	0.121826	[0:0]	[2000000:2000000]
1	0.0754395	[0:0]	[2000000:2000000]
1	0.0600586	[0:0]	[2000000:2000000]
1	0.0698242	[0:0]	[2000000:2000000]
1	0.166748	[0:0]	[2000000:2000000]
1	0.0827637	[0:0]	[2000000:2000000]
1	0.10791	[0:0]	[2000000:2000000]
1	0.134277	[0:0]	[2000000:2000000]
1	0.088623	[0:0]	[2000000:2000000]
1	0.11084	[0:0]	[2000000:2000000]
1	0.139893	[0:0]	[2000000:2000000]
1	0.131836	[0:0]	[2000000:2000000]
1	0.139893	[0:0]	[2000000:2000000]
1	0.0939941	[0:0]	[2000000:2000000]
1	0.0615234	[0:0]	[2000000:2000000]
1	0.0817871	[0:0]	[2000000:2000000]
1	0.0842285	[0:0]	[2000000:2000000]
1	0.0964355	[0:0]	[2000000:2000000]
1	0.132324	[0:0]	[2000000:2000000]
1	0.0551758	[0:0]	[2000000:2000000]
1	0.0739746	[0:0]	[2000000:2000000]
1	0.113525	[0:0]	[2000000:2000000]
1	0.112793	[0:0]	[2000000:2000000]
1	0.120361	[0:0]	[2000000:2000000]
1	0.105469	[0:0]	[2000000:2000000]
1	0.0585938	[0:0]	[2000000:2000000]
1	0.0751953	[0:0]	[2000000:2000000]
1	0.106201	[0:0]	[2000000:2000000]
1	0.112305	[0:0]	[2000000:2000000]
1	0.136963	[0:0]	[2000000:2000000]
1	0.083252	[0:0]	[2000000:2000000]
1	0.060791	[0:0]	[2000000:2000000]
1	0.0874023	[0:0]	[2000000:2000000]
1	0.106201	[0:0]	[2000000:2000000]
1	0.123779	[0:0]	[2000000:2000000]
1	0.134277	[0:0]	[2000000:2000000]
1	0.0756836	[0:0]	[2000000:2000000]
1	0.0510254	[0:0]	[2000000:2000000]
1	0.0979004	[0:0]	[2000000:2000000]
1	0.0959473	[0:0]	[2000000:2000000]
1	0.141357	[0:0]	[2000000:2000000]
1	0.0942383	[0:0]	[2000000:2000000]
1	0.0510254	[0:0]	[2000000:2000000]
1	0.0751953	[0:0]	[2000000:2000000]
1	0.108643	[0:0]	[2000000:2000000]
1	0.119385	[0:0]	[2000000:2000000]
1	0.154785	[0:0]	[2000000:2000000]
1	0.0744629	[0:0]	[2000000:2000000]
1	0.0478516	[0:0]	[2000000:2000000]
1	0.09375	[0:0]	[2000000:2000000]
1	0.114502	[0:0]	[2000000:2000000]
